file,line_number,encoded_length,tagged_length,encoded_line,tagged_line
AskAboutResearcher.csv,8,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,9,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,10,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,11,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,12,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,13,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,14,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,15,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,16,10,9,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,17,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,18,10,9,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,19,10,9,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,20,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,21,10,9,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,22,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,23,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,24,9,8,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,25,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ លើ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,26,7,6,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ?,ចុះ/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,27,8,7,ចុះ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ខ្លះ ?,ចុះ/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,31,11,10,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research លើ អ្វី ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,32,10,9,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,33,11,10,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ខ្លះ ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,34,11,10,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,35,10,9,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,36,11,10,ចូល ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ចូល/verb ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,52,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,53,7,6,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,54,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,55,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,56,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,57,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,58,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,59,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,60,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,61,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,62,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,63,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,64,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,65,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,66,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,67,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,68,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,69,10,9,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,70,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,71,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,72,9,8,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,73,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ លើ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,74,7,6,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ?,តើ/prt លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,75,8,7,តើ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ខ្លះ ?,តើ/prt លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,76,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,77,7,6,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,78,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER Research អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,79,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,80,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,81,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,82,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,83,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,84,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,85,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,86,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,87,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,88,10,9,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,89,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,90,10,9,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង Research អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,91,10,9,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,92,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,93,10,9,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,94,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,95,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,96,9,8,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,97,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,98,7,6,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,99,8,7,ប្រាប់ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER ស្រាវជ្រាវ អ្វី ខ្លះ ?,ប្រាប់/verb លោក/noun គ្រូហៀង/noun ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,103,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research លើ អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,104,9,8,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ?/punct
AskAboutResearcher.csv,105,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង Research អ្វី ខ្លះ ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,106,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,107,9,8,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskAboutResearcher.csv,108,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER កំពុង ស្រាវជ្រាវ អ្វី ខ្លះ ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun កំពុង/verb ស្រាវជ្រាវ/verb អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,111,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ Research អ្វី ខ្លះ ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun គាត់/pron Research/noun អ្វី/noun ខ្លះ/adj ?/punct
AskAboutResearcher.csv,118,10,9,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ លើ អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb លើ/adp អ្វី/noun ?/punct
AskAboutResearcher.csv,119,9,8,ប្រាប់ ខ្ញុំ លោក/B-PER គ្រូ/I-PER លីហៀង/I-PER គាត់ ស្រាវជ្រាវ អ្វី ?,ប្រាប់/verb ខ្ញុំ/pron លោក/noun គ្រូហៀង/noun គាត់/pron ស្រាវជ្រាវ/verb អ្វី/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,17,10,9,តើ មាន ធុរ/B-ORG កិច្ច/I-ORG អ្វី នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,37,11,10,តើ មាន ធុរ/B-ORG កិច្ច/I-ORG អ្វី ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អ្វី/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
