question,intent, intent
តើ ប្រទេស ស៊ីរី/B-GPE មាន ទំហំ ដី ប៉ុន្មាន ?,AskAboutCountries,
តើ អាច មាន ប្រទេស ម៉ុលដាវី/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ មាន រឿង សម្រាប់ បុគ្គលិក អ្វី ខ្លះ កន្លែង នឹង ?,AskAboutTrendingNews,
តើ មាន ប្រទេស កូតឌីវ័រ/B-GPE ឬ អត់ ?,IsCountryExist,
នៅ ឯ នេះ មាន ស្រាវជ្រាវ អ្វី សម្រាប់ បុគ្គលិក ថ្មី ? ,AskAboutResearch,
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ យ៉ា/B-PER ពិត ទេ ? , Ask About Creator,
សុំ សួរ មួយ មនុស្ស យន្ត តើ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR មាន កន្លែង បន្ទោរ បង់ អត់ ?,DoesToiletExist,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ជាតិ/I-ORG អប់រំ/I-ORG មាន កន្លែង សម្រាប់ ហូបបាយ ទេ ? , Ask About Canteen,
តើ ពិត ជា មាន ប្រទេស ម៉ាកាវ/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ ប្រទេស ម៉ុលដាវី/B-GPE មាន ទំហំ ផ្ទៃ ដី ប៉ុន្មាន ?,AskAboutCountries,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ថាក់គ្លូប៊ល/I-ORG មាន សារៈ សំខាន់ ដែល ឬ ទេ ? , Ask About Institution,
តើ Robot ឯង បង្កើត ដោយ លោក គ្រូសិទ្ធ/B-PER មែន ឬ អត់ ? , Ask About Creator,
hello Robot , Saywelcome,
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អ្វី ខ្លះ នៅ ណិពទិច/B-ORG ?,AskAboutTrendingNews,
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ ដារ៉ា/B-PER ពិត ប្រាកដ ឬ អត់ ? , Ask About Creator,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG ស្រាវជ្រាវ/I-ORG និងនវានុវត្តន៍/I-ORG ឌីជីថល/I-ORG មាន playground ដែល ទេ ? , Ask About Playground,
តើ មាន ធុរ កិច្ច Cam/B-ORG Mob/I-ORG នៅ ខាង ក្នុង ទី នេះ ដែរ ទេ ?,, IsStart UpExist
តើ ផ្នែក សម្រប សម្រួល កម្ម វិធី ធ្វើ ការ នៅ អាគារ ណា ?,AskAboutStaffRoom,
ចូរ រៀប រាប់ ប្រវត្តិ របស់ ឯក/B-PER ឧត្តម/I-PER សេងសុភាព/I-PER ?,AskAboutTopManagementPersonal,
តើ មាន ប្រទេស អ៊ូហ្គង់ដា/B-GPE ឬ អត់ ?,IsCountryExist,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ស្រាវជ្រាវ/I-ORG និងនវានុវត្តន៍/I-ORG ឌីជីថល/I-ORG មាន ផ្នែក អ្វី ខ្លះ ? , Ask About Institution,
តើ អាច មាន ប្រទេស អ៊ុយរូហ្គាយ/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
តើ ពិត ជា មាន ប្រទេស បាបាដូស/B-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន រៀន ម៉េច ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR Network/I-MAJOR ?,CuriculumInEachMajor,
តើ ប្រទេស ស្វីស/B-GPE មាន ទំហំ ដី ប៉ុន្មាន ?,AskAboutCountries,
តើ មាន ប្រទេស ហ្សកដានី/B-GPE ឬ ទេ ?,IsCountryExist,
តើ មាន ប្រទេស បូតស្វាណា/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ ពិត ជា មាន អាយឌីជី/B-ORG ដែល ឫ ទេ ? , Is Institution Exist,
តើ អាច មាន ប្រទេស នូវែល/B-GPE សេឡង់/I-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ លេខ ទំនាក់ទំនង របស់ លោក គ្រូសិទ្ធ/B-PER លេខ ប៉ុន្មាន ខ្លះ ?,AskAboutStaffPhoneNumber,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG ពហុ/I-ORG បច្ចេកទេស/I-ORG ព្រះ/I-ORG កុសុមៈ/I-ORG ជំនាញ នីមួយ ៗ បង្រៀន ប៉ុន្មាន ឆ្នាំ ? , Ask About Major,
តើ ពិត ជា មាន ប្រទេស កម្ពុជា/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
សុំ សួរ មួយ មនុស្ស យន្ត តើ នៅ អាគារ នេះ មាន បង្គន់ អណាម័យ ឬ អត់ ?,DoesToiletExist,
មាន កន្លែង បន្ទោរ បង់ ឬ ទេ នៅ ជាន់ នេះ ?,DoesToiletExist,
តើ មាន រៀន ម៉េច ខ្លះ នៅ ខាង អាយធី/B-MAJOR ?,CuriculumInEachMajor,
តើ Robot ឯង បង្កើត ដោយ បង ណារី/B-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
អ្នក ទទួល ខុស ត្រូវ ក្នុង Telecomsand Networking នរណា ជា ?,AskAboutTopManagementPersonal,
មាន កន្លែង ជុះ ឬ ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR ?,DoesToiletExist,
តើ អ្នក អាច ប្រាប់ ទី តាំង បន្ទប់/B-ROOM គាំទ្រ/I-ROOM ការ/I-ROOM បង្រៀន/I-ROOM នៅ ទី ណា បាន ទេ ?,FindRoom,
តើ មាន កម្ម វិធី រៀន ស្អី គេ ខ្លះ ខាង computerscience/B-MAJOR ?,CuriculumInEachMajor,
តើ អាច មាន ប្រទេស ម៉ាសេដូនី/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
មាន កន្លែង ដោះ ទុក សត្វ ឬ អត់ នៅ កន្លែង នេះ ?,DoesToiletExist,
តើ ប្រទេស លីប៊ី/B-GPE មាន ប្រវែង ប៉ុន្មាន ?,AskAboutCountries,
តើ បន្ទប់/B-ROOM ៣០២/I-ROOM នៅ ឯ ណា ?,FindRoom,
ប្រាប់ ខ្ញុំ នៅ ណិពទិច ស្រាវជ្រាវ លើ ? ,AskAboutResearch,
តើ អាច មាន ប្រទេស អេក្វាទ័រ/B-GPE ហ្គីណេ/I-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន ហេតុ ការណ៍ សម្រាប់ សិស្ស អត់ នៅ ទី នេះ ?,AskAboutTrendingNews,
តើ ពិត ជា មាន ប្រទេស តង់ហ្សានី ដែល ឬ ទេ ?,IsCountryExist,
តើ ខ្ញុំ អាច រក បន្ទប់/B-ROOM ប្រជុំ/I-ROOM តាម ណាបាន ?,FindRoom,
តើ មាន កម្ម វិធី សិក្សា ស្អី គេ ខ្លះ ខាង អុីខមមើស ?,CuriculumInEachMajor,
នៅ ជាន់ នេះ កន្លែង នោម នៅ ទីណា ?,FindToilet,
តើ អាច មាន ប្រទេស អ៊ីរ៉ង់/B-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ទី តាំង បន្ទប់ របស់ លោក នាយក រង សុខា/B-PER នៅ ទី កន្លែង ណា ?,FindRoom,
មាន កន្លែង ជុះ នោម ឬ ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR ?,DoesToiletExist,
CADT/B-ORG មាន ស្រាវជ្រាវ អ្វី សម្រាប់ បុគ្គលិក ថ្មី ? ,AskAboutResearch,
តើ ទី តាំង ធ្វើ ការ របស់ ផ្នែក ភីអ នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom,
សុំ សួរ មួយ រ៉ូបូតតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR មាន បង្គន់ បត់ ជើង ឬ ទេ ?,DoesToiletExist,
តើ ពិត ជា មាន ប្រទេស កោះ/B-GPE ឃុក/I-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ អាច មាន ប្រទេស ស្លូវ៉ាគី/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
នៅ CADT/B-ORG មាន Research អ្វី ខ្លះ សម្រាប់ អ្នក ទស្សនៈ កិច្ច ? ,AskAboutResearch,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី កន្លែង របស់ បន្ទប់/B-ROOM ១០២/I-ROOM នៅ ទី ណា បាន ទេ ?,FindRoom,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ជាតិ/I-ORG ពហុ/I-ORG បច្ចេកទេស/I-ORG កម្ពុជា/I-ORG ជា របស់ ឯក ជន មែន ឬ ទេ ? , Ask About Institution,
តើ បន្ទប់ របស់ លោក គ្រូលីហៀក/B-PER មួយ ណា ?,AskAboutStaffRoom,
មាន កន្លែង ដោះ ទុក សត្វ ឬ អត់ នៅ នឹង ?,DoesToiletExist,
តើ ប្រទេស ស៊ូរីណាម/B-GPE មាន ឬ អត់ ?,IsCountryExist,
តើ បន្ទប់ របស់ បង ចាន់តូ/B-PER នៅ ជាន់ ទី ប៉ុន្មាន ?,AskAboutStaffRoom,
បង្ហាញ ខ្ញុំ កន្លែង នេះ Research លើ សម្រាប់ បុគ្គលិក ? ,AskAboutResearch,
តើ មាន ធុរ កិច្ច Cam/B-ORG Mob/I-ORG ក្នុង អាគារនវា នុវត្តន៍/I-BUILD ដែរ ទេ ?,, IsStart UpExist
តើ អ្នក ពិត ជា ត្រូវ បាន បង្កើត ដោយ បង សិទ្ធ/B-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
តើ ខ្ញុំ អាច សុំ លេខ ទំនាក់ទំនង របស់ បង ផានិត/B-PER បន្តិច បាន ដែល ឬ ទេ ?,AskAboutStaffPhoneNumber,
តើ អាច មាន ប្រទេស ហុងកុង/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ អាច ជួយ ប្រាប់ ខ្ញុំ បន្តិច បាន ទេ ថា នៅ ក្រសួង/B-ORG យុត្តិធម៌/I-ORG មាន រីហ្វីល ទឹក ទេ ?,AskAboutWaterRefill,
តើ មាន កម្ម វិធី សិក្សា ស្អី ខ្លះ ហាខាង ណេតវើក កីង ?,CuriculumInEachMajor,
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូចាន់តូ/B-PER នៅ ជាន់ ណា ?,AskAboutStaffRoom,
អ្នក ទទួល ខុស ត្រូវ ខាង ទូរគមនាគមន៍ អ្នក ណា ជា ?,AskAboutTopManagementPersonal,
តើ ប្រទេស ហុងគ្រី/B-GPE មាន ឬ ទេ ?,IsCountryExist,
តើ មាន ប្រទេស អេស្ប៉ាញ/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ឈុនហៀក/B-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
តើ មាន ប្រទេស ម៉ូសំប៊ិក/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ រ៉ូបូត ឯង បង្កើត ដោយ បង សិទ្ធ/B-PER ពិត ប្រាកដ ឬ ទេ ? , Ask About Creator,
បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR ត្រូវ អត់ ?,FindEmployeeRoom,
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស ថ្មី អ្វី ខ្លះ ក្នុង នេះ ?,AskAboutTrendingNews,
តើ មាន ហេតុ ការណ៍ ថ្មី អ្វី នៅ ណិពទិច/B-ORG ?,AskAboutTrendingNews,
នៅ CADT/B-ORG មាន ស្រាវជ្រាវ អ្វី ខ្លះ សម្រាប់ អ្នក មក មើល ? ,AskAboutResearch,
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER Alexander/I-PER បន្ទិចម ក,FindEmployeeRoom,
តើ បន្ទប់ របស់ បង ផានិត/B-PER នៅ អាគារ ណា ?,AskAboutStaffRoom,
តើ អ្នក ត្រូវ បាន ចូល រួម បង្កើត ដោយ បង ណារី/B-PER មែន ឬ អត់ ? , Ask About Creator,
តើ នៅ សល់ office នៅ ទី នេះ ទេ ?,, Ask About Available Working Space
តើ ទី តាំង បន្ទប់ របស់ លោក គ្រូសុធារ៉ា/B-PER នៅ ជាន់ ទី ប៉ុន្មាន ?,AskAboutStaffRoom,
នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR បង្គន់ នោម នៅ ណា ?,FindToilet,
តើ អ្នក អាច ប្រាប់ ពី ទី តាំង របស់ បន្ទប់/B-ROOM ៣០៤/I-ROOM នៅ កន្លែង ណា បាន ទេ ?,FindRoom,
សុំ សួរ មួយ Robotតើ នៅ កន្លែង នេះ មាន បង្គន់ នោម ឬ អត់ ?,DoesToiletExist,
សុំ សួរ មួយ Robotតើ នៅ ជាន់ នេះ មាន បង្គន់ នោម អត់ ?,DoesToiletExist,
តើ Robot ឯង បង្កើត ដោយ ណារី/B-PER ពិត ទេ ? , Ask About Creator,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR មាន បង្គន់ នោម ឬ ទេ ?,DoesToiletExist,
អាច ដឹង ពី ប្រវត្តិ ការ សិក្សា របស់ ឯក/B-PER ឧត្តម/I-PER សេងសុភាព/I-PER ដែរ ឫ ទេ ?,AskAboutTopManagementPersonal,
តើ អាយឌីជី/B-ORG ជា ស្ថាប័ន អ្វី ? , Ask About Institution,
អ្នក ទទួល ខុស ត្រូវ ក្នុង Networking នរណា ជា ?,AskAboutTopManagementPersonal,
មាន បង្គន់ ឬ អត់ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist,
តើ ប្រទេស ម៉ុងតេណេហ្គ្រោ/B-GPE មាន ប្រវែង ប៉ុន្មាន ?,AskAboutCountries,
តើ លេខ ទំនាក់ទំនង របស់ លោក គ្រូសិទ្ធ/B-PER លេខ ប៉ុន្មាន ?,AskAboutStaffPhoneNumber,
តើ មាន ប្រទេស ទុយនីស៊ី/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ ប្រទេស ឈីលី/B-GPE មាន មែន ឬ ទេ ?,IsCountryExist,
តើ មាន រៀន ដូច មេ្តច ខ្លះ នៅ ខាង អុីខមមើស ?,CuriculumInEachMajor,
តើ បង សុភាព/B-PER ធ្វើ ការ នៅ ជាន់ ណា ដែល ?,AskAboutStaffRoom,
ចូរ ប្រាប់ ពី ជីវ ប្រវត្តិ របស់ លោក/B-PER សំបឿន/I-PER ដែរ ឫ ទេ ?,AskAboutTopManagementPersonal,
តើ មាន ប្រទេស កោះ កៃម៉ាន ដែល ឬ ទេ ?,IsCountryExist,
តើ អាច មាន ប្រទេស តុងហ្គា/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ទី តាំង បន្ទប់/B-ROOM ធីអេសសុី/I-ROOM នៅ ទី កន្លែង ណា ?,FindRoom,
តើ មាន ព័ត៌មាន សម្រាប់ បុគ្គលិក ថ្មី អត់ នៅ សុីអេ/B-ORG ដីធី/I-ORG ?,AskAboutTrendingNews,
ប្រាប់ នៅ ណិពទិច Research លើ សម្រាប់ បុគ្គលិក ថ្មី ? ,AskAboutResearch,
មាន កន្លែង ដោះ ទុក សត្វ ទេ នៅ ជាន់ នេះ ?,DoesToiletExist,
តើ មាន កម្ម វិធី រៀន អ្វី ខ្លះ នៅ ខាង តេឡេខម ?,CuriculumInEachMajor,
តើ ពិត ជា មាន ប្រទេស ទុយនីស៊ី/B-GPE ឬ ទេ ?,IsCountryExist,
តើ ប្រទេស ការ/B-GPE រួប/I-GPE រួម/I-GPE ជាន់ និង ប្រទេស ណា ខ្លះ ?,AskAboutCountries,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី កន្លែង របស់ បន្ទប់/B-ROOM ៣០២/I-ROOM នៅ ទី ណា ?,FindRoom,
តើ អ្នក អាច ប្រាប់ ពី ទី តាំង របស់ បន្ទប់/B-ROOM ១០២/I-ROOM នៅ ទី ណា បាន ទេ ?,FindRoom,
មាន កន្លែង បត់ ជើង ឬ ទេ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist,
តើ មាន ប្រទេស ព័រតូរីកូ មែន ឬ អត់ ?,IsCountryExist,
រ៉ូបូត តើ នៅ អគារ/B-BUILD IDT/I-BUILD កន្លែង ជុះ នៅ កន្លែង ណា ?,FindToilet,
នេះ មាន ស្រាវជ្រាវ អ្វី សម្រាប់ បុគ្គលិក ? ,AskAboutResearch,
តើ ទី តាំង បន្ទប់ របស់ ផ្នែក ភីអ នៅ អាគារ ណា ?,AskAboutStaffRoom,
ចូរ ប្រាប់ ពី ជីវ ប្រវត្តិ របស់ លោក/B-PER សំបឿន/I-PER ?,AskAboutTopManagementPersonal,
តើ មាន កម្ម វិធី សិក្សា ដូច មេ្តច ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR Information/I-MAJOR Technology/I-MAJOR ?,CuriculumInEachMajor,
តើ ពិត ជា មាន ប្រទេស អេស្ប៉ាញ/B-GPE ឬ ទេ ?,IsCountryExist,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG បច្ចេកវិទ្យា/I-ORG ឌីជីថល/I-ORG មាន កន្លែង លក់ បាយ ទេ ? , Ask About Canteen,
តើ មាន កម្ម វិធី សិក្សា អី ខ្លះ ខាង IT/B-MAJOR ?,CuriculumInEachMajor,
តើ មាន រៀន ស្អី ខ្លះ ហា នៅ ក្នុង ជំនាញ/B-MAJOR កុំព្យូទ័រ/I-MAJOR សាយអេន/I-MAJOR ?,CuriculumInEachMajor,
តើ ប្រទេស យេម៉ែន/B-GPE មាន មែន ឬ ទេ ?,IsCountryExist,
តើ ប្រទេស នា/B-GPE វា/I-GPE ទេសចរណ៍/I-GPE គុយបា/I-GPE មាន ប្រវែង ប៉ុន្មាន ?,AskAboutCountries,
តើ អាច មាន ប្រទេស លីចតេនស្ទីន/B-GPE ឬ ទេ ?,IsCountryExist,
សុំ សួរ មួយ រ៉ូបូតតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR បង្អស់/I-FLOOR មាន បង្គន់ បត់ ជើង ឬ អត់ ?,DoesToiletExist,
